iter	RMSE
479	8335.416385
480	8321.125965
481	8308.812354
482	8307.84093
483	8296.563352
484	8295.62291
485	8284.981629
486	8270.965717
487	8256.385461
488	8229.330851
489	8216.972536
490	8216.061383
491	8193.226074
492	8190.05283
493	8187.960701
494	8160.882686
495	8153.191181
496	8145.056404
497	8138.606619
498	8128.202229
499	8117.496333
500	8107.735219
501	8100.255749
502	8094.810576
503	8091.363614
504	8079.857137
505	8066.031365
506	8049.51211
507	8041.816723
508	8028.54993
509	8018.81124
510	8017.958318
511	7990.628772
512	7973.538286
513	7965.939614
514	7952.459569
515	7939.666826
516	7927.066171
517	7925.223061
518	7921.757295
519	7920.962179
520	7910.601167
521	7895.565759
522	7883.764499
523	7861.307794
524	7843.535302
525	7841.860204
526	7825.280175
527	7816.528028
528	7806.352849
529	7790.125847
530	7777.809143
531	7755.968639
532	7749.366129
533	7729.413383
534	7720.89334
535	7712.503331
536	7695.810478
537	7689.415135
538	7682.623433
539	7668.322132
540	7660.744357
541	7651.280816
542	7646.17322
543	7627.710366
544	7611.219648
545	7603.23379
546	7594.854961
547	7579.428032
548	7569.45249
549	7563.201976
550	7551.685565
551	7530.375487
552	7516.291374
553	7508.4174
554	7505.342941
555	7491.126796
556	7485.359112
557	7473.09043
558	7466.616669
559	7446.813388
560	7440.649224
561	7439.896008
562	7427.553686
563	7412.849715
564	7408.969872
565	7390.484144
566	7388.149464
567	7382.796723
568	7368.13814
569	7351.086412
570	7334.323301
571	7323.823882
572	7318.461666
573	7300.002363
574	7281.052483
575	7268.670763
576	7259.446123
577	7256.061179
578	7254.335841
579	7243.825244
580	7238.92138
581	7228.352479
582	7213.801952
583	7200.299097
584	7184.88627
585	7172.338566
586	7151.49492
587	7144.437991
588	7134.250877
589	7119.883045
590	7104.668696
591	7095.583141
592	7089.920489
593	7080.258947
594	7069.30984
595	7061.45701
596	7058.764735
597	7041.977477
598	7033.012488
599	7023.038286
600	7015.079294
601	7012.773951
602	7001.70124
603	6999.78762
604	6983.779743
605	6972.053099
606	6964.258762
607	6947.780874
608	6931.534755
609	6929.518472
610	6917.853282
611	6905.111288
612	6898.87455
613	6896.543275
614	6881.360733
615	6872.857876
616	6864.280555
617	6849.081512
618	6846.288066
619	6829.433079
620	6826.269897
621	6814.720645
622	6810.516376
623	6803.764974
624	6799.473392
625	6786.096904
626	6781.307944
627	6778.022879
628	6758.949562
629	6749.664128
630	6749.008577
631	6742.717269
632	6740.254499
633	6719.679595
634	6710.177215
635	6698.571556
636	6696.047927
637	6683.616552
638	6679.361914
639	6667.682667
640	6658.677129
641	6649.948964
642	6647.907299
643	6640.743797
644	6621.069074
645	6609.953274
646	6595.661882
647	6587.127343
648	6584.471239
649	6575.938415
650	6565.643659
651	6550.666257
652	6548.235536
653	6531.276472
654	6514.06644
655	6508.152802
656	6501.546892
657	6500.527962
658	6489.949264
659	6487.547034
660	6485.582005
661	6478.600252
662	6464.950356
663	6458.138511
664	6452.251538
665	6450.138984
666	6449.213976
667	6444.865295
668	6441.314054
669	6416.395865
670	6409.910229
671	6400.509217
672	6384.410472
673	6372.606479
674	6355.888861
675	6341.944628
676	6336.918209
677	6328.635089
678	6327.661732
679	6326.017176
680	6318.658298
681	6305.643668
682	6295.469768
683	6285.243578
684	6276.255795
685	6275.318869
686	6266.33807
687	6263.98346
688	6261.277325
689	6252.748181
690	6247.005385
691	6240.609186
692	6225.020309
693	6223.452805
694	6216.972336
695	6214.691134
696	6211.138124
697	6209.700479
698	6193.967093
699	6191.107899
700	6190.172867
701	6182.858384
702	6180.992458
703	6168.852657
704	6162.828946
705	6161.858109
706	6156.696689
707	6153.554747
708	6138.913173
709	6138.071584
710	6133.337416
711	6120.816576
712	6115.102216
713	6101.199982
714	6099.89744
715	6091.47602
716	6090.597694
717	6085.702288
718	6084.897573
719	6070.214142
720	6059.699065
721	6055.608872
722	6044.470904
723	6035.612158
724	6025.856318
725	6023.55449
726	6020.491246
727	6018.951328
728	6016.727493
729	6003.615789
730	5998.177085
731	5995.251402
732	5992.479791
733	5981.728543
734	5971.174937
735	5965.425767
736	5955.857848
737	5949.671248
738	5935.163965
739	5930.917844
740	5926.07316
741	5920.061587
742	5905.78759
743	5901.536983
744	5894.78956
745	5882.944147
746	5877.879433
747	5866.750589
748	5863.494818
749	5862.147995
750	5858.721281
751	5845.94625
752	5834.498376
753	5822.427669
754	5821.714229
755	5815.616756
756	5811.699249
757	5801.230518
758	5787.177799
759	5780.045814
760	5771.033167
761	5766.436844
762	5757.252808
763	5746.330332
764	5740.015157
765	5732.813676
766	5722.767957
767	5712.649807
768	5707.947024
769	5696.944626
770	5689.653489
771	5684.556899
772	5672.37966
773	5665.009813
774	5656.027631
775	5643.512158
776	5632.768478
777	5621.998349
778	5613.338024
779	5604.163666
780	5599.634459
781	5593.255595
782	5588.102142
783	5580.849274
784	5576.411707
785	5568.682738
786	5552.969731
787	5549.889552
788	5546.881264
789	5543.042941
790	5533.370885
791	5524.38844
792	5516.740675
793	5509.561193
794	5508.781413
795	5504.968714
796	5501.042352
797	5495.537452
798	5491.907423
799	5483.330249
800	5464.861908
801	5461.113373
802	5459.706003
803	5455.594797
804	5444.733006
805	5437.561503
806	5433.779135
807	5433.09337
808	5422.662797
809	5409.55092
810	5403.234865
811	5402.346524
812	5391.774297
813	5388.20749
814	5380.713779
815	5380.039064
816	5374.953402
817	5369.70921
818	5360.682195
819	5351.677263
820	5340.864131
821	5331.198915
822	5324.33379
823	5318.382664
824	5316.604901
825	5311.502916
826	5306.539872
827	5296.431634
828	5286.996089
829	5286.223139
830	5276.120422
831	5275.5766
832	5268.060872
833	5264.867655
834	5259.655314
835	5255.675234
836	5251.21438
837	5247.011933
838	5243.551347
839	5233.941428
840	5233.340057
841	5227.936325
842	5219.306309
843	5218.811435
844	5215.732166
845	5212.766131
846	5208.323232
847	5202.388687
848	5195.471854
849	5190.250285
850	5184.609879
851	5178.135374
852	5170.818375
853	5162.957985
854	5158.667016
855	5158.116896
856	5155.048953
857	5147.445143
858	5141.564291
859	5136.987839
860	5127.365267
861	5121.091629
862	5115.077134
863	5109.970725
864	5103.224213
865	5102.694036
866	5101.34939
867	5096.275258
868	5089.615164
869	5088.706293
870	5083.003905
871	5077.587027
872	5071.690345
873	5061.760264
874	5061.317197
875	5051.993168
876	5046.898342
877	5037.265135
878	5035.777999
879	5029.800839
880	5023.437612
881	5022.664123
882	5014.688138
883	5011.502328
884	5006.755542
885	5005.395187
886	4999.075869
887	4992.371298
888	4986.317535
889	4981.347628
890	4973.545307
891	4964.771294
892	4963.246076
893	4955.99324
894	4954.700991
895	4943.298347
896	4939.399169
897	4932.941948
898	4928.755621
899	4918.87242
900	4918.457714
901	4918.037217
902	4916.949657
903	4914.112921
904	4912.331045
905	4907.763682
906	4902.186012
907	4888.367622
908	4885.798025
909	4881.672217
910	4875.592398
911	4875.166738
912	4868.720617
913	4867.609962
914	4865.215844
915	4859.904027
916	4858.687774
917	4858.325238
918	4857.425964
919	4856.93676
920	4846.406976
921	4837.280004
922	4826.82266
923	4822.117405
924	4817.102531
925	4812.931971
926	4812.481631
927	4811.236421
928	4803.099624
929	4791.619551
930	4790.028266
931	4787.367537
932	4778.68632
933	4773.299491
934	4766.782311
935	4762.458399
936	4756.103122
937	4752.2375
938	4745.657081
939	4738.443028
940	4735.515507
941	4725.874316
942	4720.931778
943	4714.655608
944	4703.845808
945	4698.048325
946	4691.474036
947	4686.591208
948	4680.171927
949	4668.891748
950	4665.808177
951	4661.857192
952	4655.93091
953	4646.792474
954	4644.404737
955	4640.154622
956	4631.741815
957	4629.042237
958	4628.65848
959	4626.516203
960	4620.624691
961	4617.901932
962	4608.509071
963	4607.625786
964	4599.858019
965	4591.85563
966	4582.489177
967	4581.963271
968	4577.634239
969	4574.782671
970	4572.483798
971	4571.397981
972	4565.966498
973	4563.903118
974	4562.270951
975	4555.239284
976	4551.826125
977	4546.56802
978	4540.839133
979	4531.955986
980	4527.035648
981	4522.338871
982	4521.970312
983	4517.475032
984	4508.272157
985	4499.102519
986	4492.4641
987	4489.43343
988	4485.810044
989	4484.207209
990	4476.073571
991	4466.587322
992	4461.865868
993	4460.623645
994	4449.800228
995	4443.107547
996	4437.626984
997	4426.991671
998	4424.034714
999	4421.443204
