iter	Passed	Remaining
485	1969	2083
486	1973	2079
487	1977	2074
488	1981	2070
489	1985	2066
490	1989	2062
491	1993	2058
492	1997	2054
493	2001	2049
494	2005	2045
495	2009	2041
496	2014	2038
497	2018	2034
498	2022	2030
499	2026	2026
500	2030	2022
501	2034	2018
502	2038	2014
503	2042	2010
504	2046	2006
505	2050	2001
506	2054	1997
507	2058	1993
508	2062	1989
509	2066	1984
510	2069	1980
511	2073	1976
512	2078	1972
513	2082	1968
514	2086	1964
515	2090	1960
516	2094	1956
517	2098	1952
518	2102	1948
519	2106	1944
520	2110	1940
521	2114	1936
522	2118	1932
523	2122	1928
524	2126	1924
525	2130	1920
526	2134	1916
527	2139	1912
528	2143	1908
529	2147	1904
530	2151	1900
531	2155	1896
532	2159	1892
533	2163	1888
534	2168	1884
535	2172	1880
536	2176	1876
537	2180	1872
538	2184	1868
539	2188	1864
540	2192	1860
541	2196	1855
542	2200	1851
543	2204	1847
544	2208	1843
545	2212	1839
546	2216	1835
547	2220	1831
548	2224	1827
549	2227	1822
550	2231	1818
551	2235	1814
552	2239	1810
553	2243	1806
554	2247	1802
555	2252	1798
556	2256	1794
557	2260	1790
558	2264	1786
559	2268	1782
560	2272	1778
561	2276	1773
562	2280	1770
563	2284	1766
564	2288	1761
565	2292	1757
566	2296	1753
567	2300	1749
568	2304	1745
569	2308	1741
570	2312	1737
571	2316	1733
572	2320	1729
573	2324	1725
574	2328	1720
575	2332	1716
576	2336	1712
577	2340	1708
578	2344	1704
579	2348	1700
580	2352	1696
581	2356	1692
582	2360	1688
583	2364	1684
584	2368	1679
585	2371	1675
586	2376	1671
587	2380	1667
588	2384	1663
589	2388	1659
590	2392	1655
591	2396	1651
592	2400	1647
593	2404	1643
594	2408	1639
595	2412	1635
596	2416	1631
597	2420	1626
598	2423	1622
599	2428	1618
600	2432	1614
601	2436	1610
602	2440	1606
603	2444	1602
604	2448	1598
605	2452	1594
606	2456	1590
607	2460	1586
608	2464	1582
609	2468	1578
610	2472	1574
611	2477	1570
612	2482	1567
613	2486	1563
614	2491	1559
615	2495	1555
616	2499	1551
617	2503	1547
618	2507	1543
619	2511	1539
620	2515	1535
621	2519	1531
622	2523	1527
623	2527	1523
624	2531	1519
625	2536	1515
626	2540	1511
627	2543	1506
628	2548	1503
629	2552	1499
630	2556	1494
631	2560	1490
632	2564	1486
633	2568	1482
634	2572	1478
635	2576	1474
636	2580	1470
637	2584	1466
638	2588	1462
639	2593	1458
640	2598	1455
641	2602	1451
642	2606	1447
643	2610	1443
644	2614	1439
645	2619	1435
646	2623	1431
647	2627	1427
648	2631	1423
649	2636	1419
650	2640	1415
651	2643	1411
652	2647	1407
653	2651	1402
654	2655	1398
655	2659	1394
656	2664	1391
657	2668	1386
658	2672	1382
659	2675	1378
660	2679	1374
661	2683	1370
662	2687	1366
663	2692	1362
664	2695	1358
665	2699	1354
666	2703	1349
667	2707	1345
668	2711	1341
669	2715	1337
670	2719	1333
671	2724	1329
672	2728	1325
673	2732	1321
674	2736	1317
675	2740	1313
676	2744	1309
677	2748	1305
678	2752	1301
679	2756	1297
680	2760	1293
681	2764	1289
682	2768	1285
683	2772	1280
684	2776	1276
685	2780	1272
686	2784	1268
687	2788	1264
688	2792	1260
689	2796	1256
690	2800	1252
691	2804	1248
692	2808	1244
693	2812	1240
694	2816	1236
695	2820	1232
696	2825	1228
697	2829	1224
698	2833	1220
699	2837	1216
700	2841	1212
701	2846	1208
702	2849	1203
703	2853	1199
704	2857	1195
705	2861	1191
706	2866	1187
707	2869	1183
708	2873	1179
709	2877	1175
710	2881	1171
711	2886	1167
712	2890	1163
713	2894	1159
714	2898	1155
715	2903	1151
716	2908	1147
717	2913	1144
718	2919	1141
719	2925	1137
720	2929	1133
721	2934	1129
722	2938	1125
723	2942	1121
724	2946	1117
725	2950	1113
726	2954	1109
727	2958	1105
728	2962	1101
729	2966	1097
730	2970	1093
731	2974	1089
732	2978	1084
733	2982	1080
734	2986	1076
735	2990	1072
736	2994	1068
737	2998	1064
738	3002	1060
739	3007	1056
740	3011	1052
741	3015	1048
742	3019	1044
743	3023	1040
744	3027	1036
745	3031	1032
746	3035	1028
747	3039	1024
748	3044	1020
749	3048	1016
750	3052	1011
751	3056	1007
752	3060	1003
753	3064	999
754	3068	995
755	3072	991
756	3076	987
757	3080	983
758	3085	979
759	3089	975
760	3093	971
761	3096	967
762	3101	963
763	3105	959
764	3109	955
765	3113	951
766	3117	947
767	3121	942
768	3125	938
769	3129	934
770	3133	930
771	3137	926
772	3141	922
773	3145	918
774	3149	914
775	3153	910
776	3157	906
777	3161	902
778	3165	898
779	3170	894
780	3174	890
781	3178	886
782	3182	882
783	3186	877
784	3190	873
785	3194	869
786	3198	865
787	3202	861
788	3206	857
789	3210	853
790	3214	849
791	3218	845
792	3222	841
793	3226	837
794	3230	833
795	3234	828
796	3238	824
797	3242	820
798	3246	816
799	3250	812
800	3254	808
801	3258	804
802	3262	800
803	3266	796
804	3270	792
805	3274	788
806	3278	784
807	3282	779
808	3286	775
809	3290	771
810	3294	767
811	3298	763
812	3302	759
813	3306	755
814	3310	751
815	3314	747
816	3318	743
817	3322	739
818	3326	735
819	3330	731
820	3334	726
821	3338	722
822	3342	718
823	3346	714
824	3350	710
825	3354	706
826	3358	702
827	3362	698
828	3366	694
829	3370	690
830	3374	686
831	3378	682
832	3382	678
833	3386	674
834	3390	669
835	3395	666
836	3399	662
837	3403	657
838	3407	653
839	3411	649
840	3415	645
841	3419	641
842	3423	637
843	3427	633
844	3431	629
845	3435	625
846	3439	621
847	3443	617
848	3447	613
849	3451	609
850	3455	605
851	3459	600
852	3463	596
853	3468	592
854	3472	588
855	3476	584
856	3479	580
857	3483	576
858	3488	572
859	3492	568
860	3496	564
861	3500	560
862	3504	556
863	3508	552
864	3512	548
865	3516	544
866	3520	539
867	3524	535
868	3528	531
869	3532	527
870	3536	523
871	3541	519
872	3545	515
873	3549	511
874	3553	507
875	3557	503
876	3561	499
877	3564	495
878	3569	491
879	3572	487
880	3577	483
881	3581	479
882	3585	475
883	3589	471
884	3593	466
885	3597	462
886	3601	458
887	3605	454
888	3610	450
889	3614	446
890	3618	442
891	3622	438
892	3626	434
893	3630	430
894	3634	426
895	3638	422
896	3643	418
897	3647	414
898	3651	410
899	3655	406
900	3659	402
901	3663	398
902	3667	393
903	3671	389
904	3675	385
905	3679	381
906	3683	377
907	3687	373
908	3691	369
909	3695	365
910	3699	361
911	3703	357
912	3707	353
913	3711	349
914	3715	345
915	3719	341
916	3723	337
917	3727	332
918	3732	328
919	3735	324
920	3740	320
921	3744	316
922	3748	312
923	3752	308
924	3756	304
925	3760	300
926	3765	296
927	3769	292
928	3773	288
929	3777	284
930	3781	280
931	3785	276
932	3789	272
933	3794	268
934	3798	264
935	3802	259
936	3806	255
937	3810	251
938	3814	247
939	3818	243
940	3822	239
941	3826	235
942	3830	231
943	3834	227
944	3838	223
945	3842	219
946	3846	215
947	3851	211
948	3855	207
949	3859	203
950	3863	199
951	3867	194
952	3871	190
953	3875	186
954	3880	182
955	3884	178
956	3890	174
957	3895	170
958	3899	166
959	3904	162
960	3909	158
961	3914	154
962	3919	150
963	3923	146
964	3927	142
965	3931	138
966	3935	134
967	3940	130
968	3944	126
969	3947	122
970	3952	118
971	3955	113
972	3959	109
973	3963	105
974	3967	101
975	3971	97
976	3975	93
977	3979	89
978	3983	85
979	3987	81
980	3991	77
981	3995	73
982	4000	69
983	4003	65
984	4007	61
985	4011	56
986	4015	52
987	4020	48
988	4023	44
989	4028	40
990	4032	36
991	4036	32
992	4040	28
993	4044	24
994	4048	20
995	4052	16
996	4056	12
997	4060	8
998	4064	4
999	4068	0
