name,full_name,stars,forks,watchers,open_issues,size,has_wiki,has_projects,has_downloads,is_fork,archived,created_at,updated_at,pushed_at,language,license,subscribers_count,contributors_count,commits_count,readme_size
NeteaseCloudMusicApi,Binaryify/NeteaseCloudMusicApi,30328,15835,30328,147,1,0,1,1,0,1,2016-06-22T11:58:03Z,2025-05-03T20:44:55Z,2024-02-28T02:47:42Z,,,30,1,3,149
symfony,symfony/symfony,30324,9596,30324,822,295345,0,1,0,0,0,2010-01-04T14:21:21Z,2025-05-04T06:47:15Z,2025-05-04T06:52:34Z,PHP,mit,30,30,30,3853
minikube,kubernetes/minikube,30314,4972,30314,555,238294,0,1,1,0,0,2016-04-15T22:38:35Z,2025-05-04T02:30:13Z,2025-05-01T17:49:57Z,Go,apache-2.0,30,30,30,4821
servo,servo/servo,30305,3168,30305,3321,1512577,1,1,1,0,0,2012-02-08T19:07:25Z,2025-05-04T02:16:20Z,2025-05-04T02:16:16Z,Rust,mpl-2.0,30,30,30,4468
calculator,microsoft/calculator,30285,5530,30285,395,38881,0,1,1,0,0,2019-01-28T17:55:49Z,2025-05-04T00:37:56Z,2025-04-18T02:45:50Z,C++,mit,30,30,30,5057
directus,directus/directus,30279,4187,30279,364,404638,0,1,1,0,0,2012-12-12T01:35:36Z,2025-05-04T07:14:40Z,2025-05-02T18:14:42Z,TypeScript,other,30,30,30,3668
backstage,backstage/backstage,30215,6479,30215,493,11573196,0,1,1,0,0,2020-01-24T22:39:49Z,2025-05-04T05:32:27Z,2025-05-03T18:03:41Z,TypeScript,apache-2.0,30,30,30,5410
ghostty,ghostty-org/ghostty,30210,806,30210,214,54834,0,1,1,0,0,2022-03-29T17:38:26Z,2025-05-04T06:47:55Z,2025-05-04T00:14:51Z,Zig,mit,30,30,30,11843
interactive-coding-challenges,donnemartin/interactive-coding-challenges,30193,4532,30193,74,7768,1,1,1,0,0,2015-04-28T21:36:39Z,2025-05-04T02:09:33Z,2024-05-08T23:07:36Z,Python,other,30,30,30,67239
jsPDF,parallax/jsPDF,30144,4723,30144,122,113015,0,1,1,0,0,2009-12-06T14:56:32Z,2025-05-04T07:10:46Z,2025-03-20T08:54:17Z,JavaScript,mit,30,30,30,11425
